RAW S2:653 RAW S5:0 | S:1214,653,1060,590,0,0 | HTTP response: -1
RAW S2:667 RAW S5:0 | S:1238,667,1062,606,0,0 | HTTP response: -1
RAW S2:537 RAW S5:0 | S:1066,537,990,679,0,0 | HTTP response: -1
RAW S2:610 RAW S5:0 | S:1158,610,1045,776,0,0 | HTTP response: -1
RAW S2:623 RAW S5:0 | S:1152,623,1080,750,0,0 | HTTP response: -1
RAW S2:616 RAW S5:0 | S:1133,616,1073,823,0,0 | HTTP response: -1
RAW S2:627 RAW S5:0 | S:1131,627,1072,827,0,0 | HTTP response: -1
RAW S2:0 RAW S5:0 | S:1556,0,2121,1990,0,0 | HTTP response: -1
RAW S2:0 RAW S5:0 | S:2114,0,2418,1888,0,0 | HTTP response: -1
RAW S2:0 RAW S5:0 | S:2158,0,2598,2274,0,0 | HTTP response: -1
RAW S2:0 RAW S5:0 | S:2248,0,2127,2668,0,0 | HTTP response: -1
RAW S2:0 RAW S5:0 | S:1886,0,1928,2051,0,0 | HTTP response: -1
RAW S2:0 RAW S5:0 | S:1726,0,2258,2191,0,0 | HTTP response: -1
RAW S2:0 RAW S5:0 | S:1640,0,2197,2008,0,1689 | HTTP response: -1
RAW S2:0 RAW S5:0 | S:1689,0,2220,1777,0,1689 | HTTP response: -1
RAW S2:1038 RAW S5:0 | S:2316,1038,0,0,0,1689 | HTTP response: -1
RAW S2:721 RAW S5:0 | S:2238,721,0,0,0,1689 | HTTP response: -1
RAW S2:698 RAW S5:0 | S:2130,698,0,0,0,1689 | HTTP response: -1
RAW S2:674 RAW S5:0 | S:2119,674,0,0,0,1689 | HTTP response: -1
RAW S2:573 RAW S5:0 | S:2357,573,1720,2272,0,1689 | HTTP response: -1
RAW S2:74 RAW S5:0 | S:2139,74,1719,2452,0,1689 | HTTP response: -1
RAW S2:64 RAW S5:0 | S:2192,64,1711,2484,0,1689 | HTTP response: -1
RAW S2:523 RAW S5:0 | S:2215,523,1709,2351,0,1689 | HTTP response: -1
RAW S2:599 RAW S5:0 | S:2462,599,1658,2189,0,1689 | HTTP response: -1
RAW S2:767 RAW S5:0 | S:2449,767,1383,2138,0,1689 | HTTP response: -1
RAW S2:1252 RAW S5:0 | S:2069,1252,1510,2118,0,0 | HTTP response: -1
RAW S2:1119 RAW S5:0 | S:2048,1119,1414,1917,0,0 | HTTP response: -1
RAW S2:1021 RAW S5:0 | S:1341,1021,1519,413,0,0 | HTTP response: -1
RAW S2:1253 RAW S5:0 | S:1873,1253,1595,304,0,0 | HTTP response: -1
RAW S2:1275 RAW S5:0 | S:2492,1275,1679,223,0,0 | HTTP response: -1
RAW S2:1089 RAW S5:0 | S:2159,1089,1805,2411,0,0 | HTTP response: -1
RAW S2:1076 RAW S5:0 | S:2009,1076,1751,2237,0,0 | HTTP response: -1
RAW S2:1203 RAW S5:0 | S:2197,1203,1641,2085,0,0 | HTTP response: -1
RAW S2:0 RAW S5:0 | S:226,0,0,739,0,0 | HTTP response: -1
RAW S2:484 RAW S5:0 | S:92,484,88,1084,0,0 | HTTP response: -1
RAW S2:937 RAW S5:0 | S:216,937,202,1167,0,0 | HTTP response: -1
RAW S2:332 RAW S5:0 | S:73,332,274,1234,0,0 | HTTP response: -1
RAW S2:0 RAW S5:2974 | S:0,0,0,753,2974,3113 | HTTP response: -1
RAW S2:0 RAW S5:2974 | S:0,0,0,799,2974,3113 | HTTP response: -1
RAW S2:0 RAW S5:2974 | S:0,0,0,911,2974,3113 | HTTP response: -1
RAW S2:353 RAW S5:2974 | S:0,353,223,623,2974,3113 | HTTP response: -1
RAW S2:319 RAW S5:2974 | S:0,319,248,622,2974,3113 | HTTP response: -1
RAW S2:292 RAW S5:2974 | S:0,292,258,707,2974,3113 | HTTP response: -1
RAW S2:377 RAW S5:2974 | S:169,377,372,546,2974,3113 | HTTP response: -1
RAW S2:369 RAW S5:2974 | S:164,369,365,537,2974,3113 | HTTP response: -1
RAW S2:0 RAW S5:2974 | S:0,0,0,0,2974,3113 | HTTP response: -1
RAW S2:0 RAW S5:2974 | S:0,0,0,0,2974,3113 | HTTP response: -1
RAW S2:0 RAW S5:2974 | S:0,0,0,0,2974,3113 | HTTP response: -1
RAW S2:0 RAW S5:2974 | S:0,0,0,0,2974,3113 | HTTP response: -1
RAW S2:0 RAW S5:0 | S:0,0,0,0,0,0 | HTTP response: -1
RAW S2:0 RAW S5:0 | S:0,0,0,0,0,0 | HTTP response: -1
RAW S2:0 RAW S5:0 | S:0,0,1265,39,0,0 | HTTP response: -1
RAW S2:0 RAW S5:0 | S:0,0,1381,143,0,0 | HTTP response: -1
RAW S2:0 RAW S5:0 | S:0,0,1389,137,0,0 | HTTP response: -1
